Scientific Name,English Name,Common Name,SEO Name,Order,Family
Bubo magellanicus,Magellanic horned owl,Tucúquere,Buho magallánico,Strigiformes,Strigidae
Bubulcus ibis ibis,Cattle egret,Garza boyera,Garcita bueyera,Pelecaniformes,Ardeidae
Burhinus superciliaris,Peruvian thick-knee,Chorlo cabezón,Alcaraván peruano,Charadriiformes,Burhinidae
Buteo albigula,White-throated hawk,Aguilucho chico,Busardo gorgiblanco,Accipitriformes,Accipitrinae
Buteo swainsoni,Swainson's hawk,Aguilucho langostero,Busardo chapulinero,Accipitriformes,Accipitrinae
Buteo ventralis,Rufous-tailed hawk,Aguilucho de cola rojiza,Busardo patagón,Accipitriformes,Accipitrinae
Butorides striata striata,Striated heron,Garcita azulada,Garcita verdosa,Pelecaniformes,Ardeidae
Cairina moschata,Muscovy duck,Pato criollo,Pato criollo,Anseriformes,Anatinae
Calidris acuminata,Sharp-tailed sandpiper,Playero acuminado,Correlimos acuminado,Charadriiformes,Scolopacinae
Calidris alpina,Dunlin,Playero ventinegro,Correlimos común,Charadriiformes,Scolopacinae
Calidris bairdii,Baird's sandpiper,Playero de baird,Correlimos de Baird,Charadriiformes,Scolopacidae
Calidris canutus rufa,Red knot,Playero ártico,Correlimos gordo,Charadriiformes,Scolopacidae
Calidris ferruginea,Curlew sandpiper,Playero zarapito,Correlimos zarapitín,Charadriiformes,Scolopacidae
Calidris fuscicollis,White-rumped sandpiper,Playero de lomo blanco,Correlimos cuellirrojo,Charadriiformes,Scolopacidae
Calidris himantopus,Stilt sandpiper,Playero de patas largas,Correlimos zancolín,Charadriiformes,Scolopacidae
Calidris mauri,Western sandpiper,Playero occidental,Correlimos de Alaska,Charadriiformes,Scolopacidae
Calidris melanotos,Pectoral sandpiper,Playero pectoral,Correlimos pectoral,Charadriiformes,Scolopacidae
Calidris pusilla,Semipalmated sandpiper,Playero semipalmado,Correlimos semipalmeado,Charadriiformes,Scolopacidae
Calidris subruficollis,Buff-breasted sandpiper,Playero canela,Correlimos canelo,Charadriiformes,Scolopacidae
Calidris virgata,Surfbird,Playero de las rompientes,Correlimos de rompientes,Charadriiformes,Scolopacidae
Callipepla californica,California quail,Codorniz,Colín de California,Galliformes,Odontophoridae
Campephilus magellanicus,Magellanic woodpecker,Carpintero negro,Picamaderos de Magallanes,Piciformes,Picidae
Caracara plancus,Southern caracara,Traro,Caracara carancho,Falconiformes,Falconinae
Cardellina canadensis,Canada warbler,Reinita de canada,Reinita canadiense,Passeriformes,Parulidae
Casiornis rufus,Rufous casiornis,Burlisto castaño,Burlisto castaño,Passeriformes,Tyrannidae
Catamenia analis analis,Band-tailed seedeater,Semillero,Semillero colifajado,Passeriformes,Thraupidae
Catamenia inornata inornata,Plain-colored seedeater,Semillero peruano,Semillero sencillo,Passeriformes,Thraupidae
Cathartes aura jota,Turkey vulture,Jote de cabeza colorada,Aura gallipavo,Cathartiformes,Cathartidae
Catharus fuscescens,Veery,Zorzal tropical,Zorzalito rojizo,Passeriformes,Turdidae
Catharus ustulatus,Swainson's thrush,Zorzalito de swainson,Zorzalito de Swainson,Passeriformes,Turdidae
Chaetura pelagica,Chimney swift,Vencejo de chimenea,Vencejo de chimenea,Apodiformes,Apodidae
Charadrius alticola,Puna plover,Chorlo de la puna,Chorlitejo andino,Charadriiformes,Charadriidae
Charadrius collaris,Collared plover,Chorlo de collar,Chorlitejo de Azara,Charadriiformes,Charadriidae
Charadrius falklandicus,Two-banded plover,Chorlo de doble collar,Chorlitejo malvinero,Charadriiformes,Charadriidae
Charadrius modestus,Rufous-chested dotterel,Chorlo chileno,Chorlito chileno,Charadriiformes,Charadriidae
Charadrius nivosus occidentalis,Snowy plover,Chorlo nevado,Chorlitejo patinegro,Charadriiformes,Charadriidae
Charadrius semipalmatus,Semipalmated plover,Chorlo semipalmado,Chorlitejo semipalmeado,Charadriiformes,Charadriidae
Charadrius vociferus peruvianus,Killdeer,Chorlo gritón,Chorlitejo culirrojo,Charadriiformes,Charadriidae
Charadrius wilsonia beldingi,Wilson's plover,Chorlo de pico grueso,Chorlitejo piquigrueso,Charadriiformes,Charadriidae
Chionis alba,Snowy sheathbill,Paloma antártica,Picovaina de Malvinas,Charadriiformes,Chionidae
Chlidonias niger,Black tern,Gaviotín negro,Funarel común,Charadriiformes,Sterninae
Chloroceryle americana cabanisii,Green kingfisher,Martín pescador chico,Martín pescador verde,Coraciiformes,Alcedinidae
Chlorostilbon lucidus,Glittering-bellied emerald,Picaflor común argentino,Esmeralda ventridorada,Apodiformes,Trochilinae
Chloëphaga hybrida hybrida,Kelp goose,Caranca,Cauquén caranca,Anseriformes,Anatinae
Chloëphaga picta picta,Upland goose,Caiquén,Cauquén común,Anseriformes,Anatinae
Chloëphaga poliocephala,Ashy-headed goose,Canquén,Cauquén cabecigris,Anseriformes,Anatinae
Chloëphaga rubidiceps,Ruddy-headed goose,Canquén colorado,Cauquén colorado,Anseriformes,Anatinae
Chordeiles acutipennis exilis,Lesser nighthawk,Gallina ciega peruana,Añapero garrapena,Caprimulgiformes,Caprimulgidae
Chordeiles minor,Common nighthawk,Gallina ciega boreal,Añapero yanqui,Caprimulgiformes,Caprimulgidae
Chordelies nacunda,Nacunda nighthawk,Ñacundá,Añapero ñacundá,Caprimulgiformes,Caprimulgidae
Chroicocephalus cirrocephalus,Gray-hooded gull,Gaviota de capucho gris,Gaviota cabecigris,Charadriiformes,Larinae
Chroicocephalus maculipennis,Brown-hooded gull,Gaviota cáhuil,Gaviota cáhuil,Charadriiformes,Larinae
Chroicocephalus philadelphia,Bonaparte's gull,Gaviota de bonaparte,Gaviota de Bonaparte,Charadriiformes,Larinae
Chroicocephalus serranus,Andean gull,Gaviota andina,Gaviota andina,Charadriiformes,Larinae
Chrysomus ruficapillus,Chestnut-capped blackbird,Trile de cabeza canela,Varillero congo,Passeriformes,Icteridae
Ciconia maguari,Maguari stork,Pillo,Cigüeña maguari,Ciconiiformes,Ciconiidae
Cinclodes antarcticus maculirostris,Blackish cinclodes,Churrete austral,Remolinera negra,Passeriformes,Furnariinae
Cinclodes atacamensis atacamensis,White-winged cinclodes,Churrete de alas blancas,Remolinera castaña,Passeriformes,Furnariinae
Cinclodes fuscus,Buff-winged cinclodes,Churrete acanelado,Remolinera común,Passeriformes,Furnariinae
Cinclodes nigrofumosus,Seaside cinclodes,Churrete costero,Remolinera costera chilena,Passeriformes,Furnariinae
Cinclodes oustaleti,Gray-flanked cinclodes,Churrete chico,Remolinera chica,Passeriformes,Furnariinae
Cinclodes patagonicus patagonicus,Dark-bellied cinclodes,Churrete,Remolinera araucana,Passeriformes,Furnariinae
Circus buffoni,Long-winged harrier,Vari huevetero,Aguilucho de Azara,Accipitriformes,Accipitrinae
Circus cinereus,Cinereous harrier,Vari,Aguilucho vari,Accipitriformes,Accipitrinae
Cistothorus platensis hornensis,Sedge wren,Chercán de las vegas,Cucarachero sabanero,Passeriformes,Troglodytidae
Coccyzus americanus,Yellow-billed cuckoo,Cuclillo de pico amarillo,Cuclillo piquigualdo,Cuculiformes,Cuculinae
Coccyzus melacoryphus,Dark-billed cuckoo,Cuclillo de pico negro,Cuclillo canela,Cuculiformes,Cuculinae
Colaptes pitius,Chilean flicker,Pitio,Carpintero pitio,Piciformes,Picidae
Colaptes rupicola rupicola,Andean flicker,Pitio del norte,Carpintero andino,Piciformes,Picidae
Colibri coruscans,Sparkling violetear,Picaflor azul,Colibrí rutilante,Apodiformes,Trochilinae
Colorhamphus parvirostris,Patagonian tyrant,Viudita,Peutrén,Passeriformes,Tyrannidae
Columba livia,Rock pigeon,Paloma domestica,Paloma bravía,Columbiformes,Columbinae
Columbina cruziana,Croaking ground dove,Tortolita quiguagua,Columbina quiguagua,Columbiformes,Peristerinae
