Scientific Name,English Name,Common Name,SEO Name,Order,Family
Mimus triurus,White-banded mockingbird,Tenca de alas blancas,Sinsonte trescolas,Passeriformes,Mimidae
Molothrus bonariensis bonariensis,Shiny cowbird,Mirlo,Tordo renegrido,Passeriformes,Icteridae
Molothrus rufoaxillaris,Screaming cowbird,Mirlo de pico corto,Tordo chillón,Passeriformes,Icteridae
Muscigralla brevicauda,Short-tailed field-tyrant,Cazamoscas de cola corta,Dormilona colicorta,Passeriformes,Tyrannidae
Muscisaxicola albifrons,White-fronted ground-tyrant,Dormilona gigante,Dormilona gigante,Passeriformes,Tyrannidae
Muscisaxicola albilora,White-browed ground-tyrant,Dormilona de ceja blanca,Dormilona cejiblanca,Passeriformes,Tyrannidae
Muscisaxicola capistratus,Cinnamon-bellied ground tyrant,Dormilona rufa,Dormilona canela,Passeriformes,Tyrannidae
Muscisaxicola cinerea cinerea,Cinereous ground-tyrant,Dormilona cenicienta,Dormilona cenicienta,Passeriformes,Tyrannidae
Muscisaxicola flavinucha flavinucha,Ochre-naped ground-tyrant,Dormilona fraile,Dormilona fraile,Passeriformes,Tyrannidae
Muscisaxicola frontalis,Black-fronted ground-tyrant,Dormilona de frente negra,Dormilona frentinegra,Passeriformes,Tyrannidae
Muscisaxicola juninensis,Puna ground-tyrant,Dormilona de la puna,Dormilona puneña,Passeriformes,Tyrannidae
Muscisaxicola macloviana mentalis,Dark-faced ground-tyrant,Dormilona tontito,Dormilona carinegra,Passeriformes,Tyrannidae
Muscisaxicola maculirostris maculirostris,Spot-billed ground-tyrant,Dormilona chica,Dormilona chica,Passeriformes,Tyrannidae
Muscisaxicola rufivertex rufivertex,Rufous-naped ground-tyrant,Dormilona de nuca rojiza,Dormilona nuquirroja,Passeriformes,Tyrannidae
Mycteria americana,Wood stork,Cigüeña de cabeza pelada,Tántalo americano,Ciconiiformes,Ciconiidae
Myiodynastes luteiventris,Sulphur-bellied flycatcher,Benteveo de vientre azufre,Bienteveo vientriazufrado,Passeriformes,Tyrannidae
Myiodynastes maculatus,Streaked flycatcher,Benteveo chico,Bienteveo rayado,Passeriformes,Tyrannidae
Myiophobus fasciatus rufescens,Bran-colored flycatcher,Cazamoscas pico chato,Mosquero estriado,Passeriformes,Tyrannidae
Myiopsitta monachus,Monk parakeet,Cotorra argentina,Cotorra argentina,Psittaciformes,Psittacidae
Neoxolmis rufiventris,Chocolate-vented tyrant,Cazamoscas chocolate,Monjita chocolate,Passeriformes,Tyrannidae
Nesofregetta fuliginosa,Polynesian storm-petrel,Golondrina de mar de garganta blanca,Paiño gorgiblanco,Procellariiformes,Oceanitidae
Netta erythrophthalma,Southern pochard,Pato castaño,Pato morado,Anseriformes,Anatinae
Netta peposaca,Rosy-billed pochard,Pato negro,Pato picazo,Anseriformes,Anatinae
Nothoprocta ornata ornata,Ornate tinamou,Perdiz cordillerana,Tinamú pisacca,Tinamiformes,Tinamidae
Nothoprocta pentlandii pentlandii,Andean tinamou,Perdiz cordillerana de arica,Tinamú andino,Tinamiformes,Tinamidae
Numenius borealis,Eskimo curlew,Zarapito boreal,Zarapito esquimal,Charadriiformes,Scolopacidae
Numenius phaeopus hudsonicus,Whimbrel,Zarapito,Zarapito trinador,Charadriiformes,Scolopacidae
Numenius tahitiensis,Bristle-thighed curlew,Zarapito polinésico,Zarapito del Pacífico,Charadriiformes,Scolopacidae
Nyctanassa violacea,Yellow-crowned night heron,Huairavo de corona amarilla,Martinete coronado,Pelecaniformes,Ardeidae
Nyctibius griseus,Common potoo,Urutaú,Nictibio urutaú,Nyctibiiformes,Nyctibiidae
Nycticorax nycticorax obscurus,Black-crowned night heron,Huairavo,Martinete común,Pelecaniformes,Ardeidae
Nycticryphes semicollaris,South american painted-snipe,Becacina pintada,Aguatero americano,Charadriiformes,Rostratulidae
Oceanites gracilis gracilis,Elliot's storm-petrel,Golondrina de mar chica,Paiño de Elliot,Procellariiformes,Oceanitidae
Oceanites oceanicus oceanicus,Wilson's storm-petrel,Golondrina de mar,Paiño de Wilson,Procellariiformes,Oceanitidae
Oceanites pincoyae,Pincoya storm-petrel,Golondrina de mar pincoya,Paiño pincoya,Procellariiformes,Oceanitidae
Oceanodroma hornbyi,Ringed storm-petrel,Golondrina de mar de collar,Paiño acollarado,Procellariiformes,Hydrobatidae
Ochetorhynchus andaecola,Rock earthcreeper,Bandurrilla de las piedras,Bandurrita roquera,Passeriformes,Furnariinae
Ochetorhynchus melanurus melanurus,Crag chilia,Chiricoca,Chiricoca,Passeriformes,Furnariinae
Ochetorhynchus phoenicurus,Band-tailed earthcreeper,Patagón,Bandurrita patagona,Passeriformes,Furnariinae
Ochetorhynchus ruficaudus ruficaudus,Straight-billed earthcreeper,Bandurrilla de pico recto,Bandurrita piquirrecta,Passeriformes,Furnariinae
Ochthoeca leucophrys leucometopa,White-browed chat-tyrant,Pitajo gris,Pitajo gris,Passeriformes,Tyrannidae
Ochthoeca oenanthoides oenanthoides,D'orbigny's chat-tyrant,Pitajo rojizo,Pitajo canela,Passeriformes,Tyrannidae
Onychoprion  fuscatus luctuosa,Sooty tern,Gaviotín apizarrado,Charrán sombrío,Charadriiformes,Sterninae
Onychoprion anaethetus,Bridled tern,Gaviotín de bridas,Charrán embridado,Charadriiformes,Sterninae
Onychoprion lunatus,Gray-backed tern,Gaviotín pascuense,Charrán lunado,Charadriiformes,Sterninae
Oreopholus ruficollis ruficollis,Tawny-throated dotterel,Chorlo de campo,Chorlito cabezón,Charadriiformes,Charadriidae
Oreotrochilus estella estella,Andean hillstar,Picaflor de la puna,Colibrí puneño,Apodiformes,Trochilinae
Oreotrochilus leucopleurus,White-sided hillstar,Picaflor cordillerano,Colibrí cordillerano,Apodiformes,Trochilinae
Oressochen  melanopterus,Andean goose,Piuquén,Cauquén guayata,Anseriformes,Anatinae
Orochelidon andecola andecola,Andean swallow,Golondrina de los riscos,Golondrina andina,Passeriformes,Hirundinidae
Oxyura ferruginea,Andean duck,Pato rana de pico ancho,Malvasía canela,Anseriformes,Anatinae
Oxyura vittata,Lake duck,Pato rana de pico delgado,Malvasía argentina,Anseriformes,Anatinae
Pachyptila belcheri,Slender-billed prion,Petrel-paloma de pico delgado,Pato-petrel picolino,Procellariiformes,Procellariidae
Pachyptila desolata banksi,Antarctic prion,Petrel-paloma antartico,Pato-petrel antártico,Procellariiformes,Procellariidae
Pachyptila salvini,Salvin's prion,Petrel-paloma de pico ancho (o de salvin),Pato-petrel de Salvin,Procellariiformes,Procellariidae
Pachyptila turtur,Fairy prion,Petrel- paloma chico,Pato-petrel piquicorto,Procellariiformes,Procellariidae
Pachyptila vittata,Broad-billed prion,Petrel-paloma de pico ancho,Pato-petrel piquiancho,Procellariiformes,Procellariidae
Pagodroma nivea,Snow petrel,Petrel de las nieves,Petrel níveo,Procellariiformes,Procellariidae
Pandion haliaetus carolinensis,Osprey,Aguila pescadora,Aguila pescadora,Accipitriformes,Pandionidae
Parabuteo unicinctus unicinctus,Harris's  hawk,Peuco,Busardo mixto,Accipitriformes,Accipitrinae
Pardirallus maculatus maculatus,Spotted rail,Pidén moteado,Rascón overo,Gruiformes,Rallidae
Pardirallus sanguinolentus,Plumbeous rail,Pidén,Rascón gallineta,Gruiformes,Rallidae
Parkesia noveboracensis,Northern waterthrush,Reinita acuatica,Reinita charquera norteña,Passeriformes,Parulidae
Paroaria coronata,Red-crested cardinal,Cardenal,Cardenilla crestada,Passeriformes,Thraupidae
Passer domesticus domesticus,House sparrow,Gorrión,Gorrión común,Passeriformes,Passeridae
Patagioenas araucana,Chilean pigeon,Torcaza,Paloma araucana,Columbiformes,Columbinae
Patagioenas maculosa maculosa,Spot-winged pigeon,Paloma de ala moteada,Paloma moteada,Columbiformes,Columbinae
Patagioenas picazuro,Picazuro pigeon,Paloma picazuro,Paloma picazuro,Columbiformes,Columbinae
Patagona gigas gigas,Giant hummingbird,Picaflor gigante,Colibrí gigante,Apodiformes,Trochilinae
Pelagodroma marina,White-faced storm-petrel,Golondrina de mar de ceja blanca,Huet-huet turca,Procellariiformes,Oceanitidae
Pelagodroma marina,White-faced storm-petrel,Golondrina de mar de ceja blanca,Paiño pechialbo,Procellariiformes,Oceanitidae
Pelecanoides garnotii,Peruvian diving-petrel,Yunco,Potoyunco peruano,Procellariiformes,Procellariidae
Pelecanoides magellani,Magellanic diving-petrel,Yunco de magallanes,Potoyunco magallánico,Procellariiformes,Procellariidaeae
Pelecanoides urinatrix,Common diving-petrel,Yunco de los canales,Potoyunco común,Procellariiformes,Procellariidae
Pelecanus occidentalis,Brown pelican,Pelícano pardo,Pelícano alcatraz,Pelecaniformes,Pelecanidae
Pelecanus thagus,Peruvian pelican,Pelicano,Pelícano alcatraz,Pelecaniformes,Pelecanidae
Petrochelidon pyrrhonota,Cliff swallow,Golondrina grande,Golondrina risquera,Passeriformes,Hirundinidae
Phaethon aethereus mesonauta,Red-billed tropicbird,Ave del trópico de pico rojo,Rabijunco etereo,Phaethontiformes,Phaethontidae
Phaethon lepturus dorotheae,White-tailed tropicbird,Ave del trópico de cola blanca,Rabijunco menor,Phaethontiformes,Phaethontidae
Phaethon rubricauda,Red-tailed tropicbird,Ave del trópico de cola roja,Rabijunco colirrojo,Phaethontiformes,Phaethontidae
Phaetusa simplex,Large-billed tern,Gaviotín de pico grande,Charrán picudo,Charadriiformes,Sterninae
Phalacrocorax atriceps atriceps,Imperial cormorant,Cormorán imperial,Cormorán imperial,Suliformes,Phalacrocoracidae
Phalacrocorax bougainvillii,Guanay cormorant,Guanay,Cormorán guanay,Suliformes,Phalacrocoracidae
Phalacrocorax bransfieldensis,Antarctic shag,Cormorán antártico,Cormorán antártico,Suliformes,Phalacrocoracidae
Phalacrocorax brasilianus,Neotropic cormorant,Yeco,Cormorán biguá,Suliformes,Phalacrocoracidae
Phalacrocorax gaimardi,Red-legged cormorant,Lile,Cormorán chuita,Suliformes,Phalacrocoracidae
Phalacrocorax magellanicus,Magellanic cormorant,Cormorán de las rocas,Cormorán magallánico,Suliformes,Phalacrocoracidae
Phalaropus fulicarius,Red phalarope,Pollito de mar rojizo,Falaropo picogrueso,Charadriiformes,Scolopacidae
Phalaropus lobatus,Red-necked phalarope,Pollito de mar boreal,Falaropo picofino,Charadriiformes,Scolopacidae
Phalaropus tricolor,Wilson's phalarope,Pollito de mar tricolor,Falaropo tricolor,Charadriiformes,Scolopacidae
Phalcoboenus albogularis,White-throated caracara,Carancho cordillerano del sur,Caracara araucano,Falconiformes,Falconinae
Phalcoboenus australis,Striated caracara,Carancho negro,Caracara austral,Falconiformes,Falconinae
Phalcoboenus megalopterus,Mountain caracara,Carancho cordillerano,Caracara andino,Falconiformes,Falconinae
Phasianus colchicus,Ring-necked  pheasant,Faisán,Faisán vulgar,Galliformes,Phasianidae
Phegornis mitchellii,Diademed sandpiper-plover,Chorlito cordillerano,Chorlitejo cordillerano,Charadriiformes,Charadriidae
Pheucticus  aureoventris,Black-backed grosbeak,Rey del bosque,Picogrueso dorsinegro,Passeriformes,Cardinalidae
Phleocryptes melanops melanops,Wren-like rush-bird,Trabajador,Junquero,Passeriformes,Furnariinae
Phoebastria irrorata,Waved albatross,Albatros de las galápagos,Albatros de las Galápagos,Procelariiforme,Diomedeidae
Phoebetria fusca,Sooty albatros,Albatros oscuro,Albatros ahumado,Procellariiformes,Diomedeidae
Phoebetria palpebrata,Light-mantled albatross,Albatros oscuro de manto claro,Albatros tiznado,Procellariiformes,Diomedeidae
Phoenicoparrus andinus,Andean flamingo,Parina grande,Parina grande,Phoenicopteriformes,Phoenicopteridae
Phoenicoparrus jamesi,James's flamingo,Parina chica,Parina chica,Phoenicopteriformes,Phoenicopteridae
Phoenicopterus chilensis,Chilean flamingo,Flamenco chileno,Flamenco chileno,Phoenicopteriformes,Phoenicopteridae
Phrygilus atriceps,Black-hooded sierra-finch,Cometocino del norte,Yal cabecinegro,Passeriformes,Thraupidae
Phrygilus gayi gayi,Gray hooded sierra-finch,Cometocino de gay,Yal cabecigris,Passeriformes,Thraupidae
Phrygilus patagonicus,Patagonian sierra finch,Cometocino patagónico,Yal patagón,Passeriformes,Thraupidae
Phytotoma rara,Rufous-tailed plantcutter,Rara,Cortarramas chileno,Passeriformes,Cotingidae
Piranga rubra,Summer tanager,Piranga,Piranga roja,Passeriformes,Cardinalidae
Pitangus sulphuratus,Great kiskadee,Benteveo,Bienteveo común,Passeriformes,Tyrannidae
Platalea ajaja,Roseate spoonbill,Espátula,Espátula rosada,Pelecaniformes,Threskiornithidae
Plegadis chihi,White-faced ibis,Cuervo de pantano,Morito cariblanco,Pelecaniformes,Threskiornithidae
Plegadis ridgwayi,Puna ibis,Cuervo de pantano de la puna,Morito de la puna,Pelecaniformes,Threskiornithidae
Pluvialis dominica,American golden plover,Chorlo dorado,Chorlito dorado americano,Charadriiformes,Charadriidae
Pluvialis fulva,Pacific golden plover,Chorlo dorado del pacifico,Chorlito dorado siberiano,Charadriiformes,Charadriidae
Pluvialis squatarola,Black-bellied  plover,Chorlo ártico,Chorlito gris,Charadriiformes,Charadriidae
Pluvianellus socialis,Magellanic plover,Chorlo de magallanes,Chorlito de Magallanes,Charadriiformes,Pluvianellidae
Podiceps gallardoi,Hooded grebe,Pimpollo tobiano,Zampullín tobiano,Podicipediformes,Podicipedidae
Podiceps major major,Great grebe,Huala,Somormujo macachón,Podicipediformes,Podicipedidae
Podiceps occipitalis occipitalis,Silvery grebe,Blanquillo,Zampullín blanquillo,Podicipediformes,Podicipedidae
Podilymbus podiceps antarcticus,Pied-billed grebe,Picurio,Zampullín picogrueso,Podicipediformes,Podicipedidae
Polioxolmis rufipennis,Rufous-webbed bush-tyrant,Mero de ala canela,Birro alirrufo,Passerifomes,Tyrannidae
Porphyrio martinicus,Purple gallinule,Tagüita purpúrea,Calamoncillo americano,Gruiformes,Rallidae
Porphyriops  melanops crassirostris,Spot-flanked gallinule,Tagüita,Gallineta pintada,Gruiformes,Rallidae
Porzana spiloptera,Dot-winged crake,Burrito negruzco,Polluela overa,Gruiformes,Rallidae
Procellaria aequinoctialis,White-chinned petrel,Fardela negra grande,Pardela gorjiblanca,Procellariiformes,Procellariidae
Procellaria cinerea,Gray petrel,Fardela gris,Pardela gris,Procellariiformes,Procellariidae
Procellaria parkinsoni,Parkinson's petrel,Fardela de parkinson,Pardela de Parkinson,Procellariiformes,Procellariidae
Procellaria westlandica,Westland petrel,Fardela de nueva zelanda,Pardela de Westland,Procellariiformes,Procellariidae
Progne chalybea,Gray-breasted martin,Golondrina domestica,Golondrina pechigris,Passeriformes,Hirundinidae
Progne elegans,Southern martin,Golondrina negra,Golondrina sureña,Passeriformes,Hirundinidae
Progne murphyi,Peruvian martin,Golondrina negra peruana,Golondrina peruana,Passeriformes,Hirundinidae
Progne tapera,Brown-chested martin,Golondrina parda,Golondrina parda,Passeriformes,Hirundinidae
Pseudasthenes humicola humicola,Dusky-tailed canastero,Canastero,Canastero colinegro,Passeriformes,Furnariinae
Pseudocolopteryx citreola,Ticking doradito,Pájaro amarillo,Doradito común,Passeriformes,Tyrannidae
Psilopsiagon aurifrons rubrirostris,Mountain parakeet,Perico cordillerano,Catita frentidorada,Psittaciformes,Psittacidae
Psittacara  erythrogenys,Red-masked parakeet,Loro de cara roja,Aratinda de Guayaquil,Psittaciformes,Psittacidae
Psittacara  mitrata,Mitred parakeet,Loro mitrata,Aratinga mitrata,Psittaciformes,Psittacidae
Pterodroma alba,Phoenix petrel,Fardela de fénix,Petrel de Phoenix,Procellariiformes,Procellariidae
Pterodroma arminjoniana heraldica,Herald petrel,Fardela heráldica,Petrel de las Trindade,Procellariiformes,Procellariidae
Pterodroma cookii,Cook's petrel,Fardela de cook,Petrel de Cook,Procellariiformes,Procellariidae
Pterodroma defilippiana,Masatierra petrel,Fardela blanca de más a tierra,Petrel chileno,Procellariiformes,Procellariidae
Pterodroma externa,Juan fernandez petrel,Fardela blanca de juan fernández,Petrel de las Juan Fernández,Procellariiformes,Procellariidae
Pterodroma incerta,Atlantic petrel,Fardela de cabeza parda,Petrel de Schlegel,Procelariiformes,Procelariidae
Pterodroma inexpectata,Mottled petrel,Petrel moteado,Petrel moteado,Procellariiformes,Procellariidae
Pterodroma lessonii,White-headed petrel,Fardela de frente blanca,Petrel cabeciblanco,Procellariiformes,Procellariidae
Pterodroma leucoptera,Gould's  petrel,Petrel de gould,Petrel de Gould,Procelariiformes,Procelariidae
Pterodroma longirostris,Stejneger's petrel,Fardela de más afuera,Petrel de Más Afuera,Procellariiformes,Procellariidae
Pterodroma macroptera,Great-winged petrel,Fardela de alas grandes,Petrel aligrande,Procellariiformes,Procellariidae
Pterodroma magentae,"Magenta petrel, taiko",Fardela taiko,Petrel taiko,Procellariiformes,Procellariidae
Pterodroma mollis,Soft-plumaged petrel,Petrel de collar gris,Petrel suave,Procellariiformes,Procellariidae
Pterodroma neglecta,Kermadec petrel,Fardela negra de juan fernández,Petrel de las Kermadec,Procellariiformes,Procellariidae
Pterodroma nigripennis,Black-winged petrel,petrel de alas negras,Petrel alinegro,Procellariiformes,Procellariidae
Pterodroma ultima,Murphy's petrel,Fardela de murphy,Petrel de Murphy,Procellariiformes,Procellariidae
Pteroptochos castaneus,Chestnut-throated huet-huet,Hued-hued castaño,Huet-huet gorgicastaño,Passeriformes,Rhinocryptidae
Pteroptochos tarnii,Black-throated huet-huet,Hued-hued del sur,Huet-huet gorginegro,Passeriformes,Rhinocryptidae
Puffinus assimilis,Little shearwater,Fardela chica,Pardela chica,Procellariiformes,Procellariidae
Puffinus nativitatis,Christmas shearwater,Fardela de pascua,Pardela de las Christmas,Procellariiformes,Procellariidae
Puffinus puffinus,Manx shearwater,Fardela atlántica,Pardela pichoneta,Procellariiformes,Procellariidae
Pygochelidon cyanoleuca patagonica,Blue-and-white swallow,Golondrina de dorso negro,Golondrina barranquera,Passeriformes,Hirundinidae
Pygoscelis adeliae,Adelie penguin,Pingüino de adelia,Pingüino de Adelia,Sphenisciformes,Spheniscidae
Pygoscelis antarctica,Chinstrap penguin,Pingüino de barbijo,Pingüino barbijo,Sphenisciformes,Spheniscidae
Pygoscelis papua,Gentoo penguin,Pingüino papúa,Pingüino juanito,Sphenisciformes,Spheniscidae
Pyrocephalus rubinus cocachacrae,Vermilion flycatcher,Saca-tu-real,Mosquero cardenal,Passeriformes,Tyrannidae
Rallus antarcticus,Austral rail,Pidén austral,Rascón pidén,Gruiformes,Rallidae
Rallus antarcticus,Austral rail,Pidén austral,Focha andina,Gruiformes,Rallidae
Rauenia bonariensis darwinii,Blue-and-yellow tanager,Naranjero,Tangara naranjera,Passeriformes,Thraupidae
Recurvirostra andina,Andean avocet,Caití,Avoceta andina,Charadriiformes,Recurvirostridae
Rhea pennata pennata,Lesser rhea,Ñandú,Ñandú petizo,Rheiformes,Rheidae
Rhodopis vesper vesper,Oasis hummingbird,Picaflor del norte,Colibrí de Atacama,Apodiformes,Trochilinae
Rhoposopina alaudina alaudina,Band-tailed sierra-finch,Platero,Yal platero,Passeriformes,Thraupidae
Rhoposopina fruticeti fruticeti,Mourning sierra-finch,Yal,Yal pechinegro,Passeriformes,Thraupidae
Riparia riparia,Bank swallow,Golondrina barranquera,Avión zapador,Passeriformes,Hirundinidae
Rollandia rolland chilensis,White-tufted grebe,Pimpollo,Zampullín pimpollo,Podicipediformes,Podicipedidae
Rupornis magnirostris,Roadside hawk,Aguilucho de ala rojiza,Busardo caminero,Accipitriformes,Accipitrinae
Rynchops niger cinerascens,Black skimmer,Rayador,Rayador americano,Charadriiformes,Rynchopinae
Saltator aurantiirostris albociliaris,Golden-billed saltator,Pepitero,Pepitero piquigualdo,Passeriformes,Thraupidae
Sarkidiornis sylvicola,American comb duck,Pato crestudo,Pato crestudo,Anseriformes,Anatidae
Scelorchilus albicollis albicollis,White-throated tapaculo,Tapaculo,Tapaculo gorgiblanco,Passeriformes,Rhinocryptidae
Scelorchilus rubecula rubecula,Chucao tapaculo,Chucao,Tapaculo chucao,Passeriformes,Rhinocryptidae
Scytalopus fuscus,Dusky tapaculo,Churrín del norte,Churrín sombrío,Passeriformes,Rhinocryptidae
Scytalopus magellanicus,Magellanic tapaculo,Churrín del sur,Churrín magallánico,Passeriformes,Rhinocryptidae
Sephanoides fernandensis,Juan fernandez firecrown,Picaflor de juan fernández,Colibrí de Juan Fernández,Apodiformes,Trochilinae
Sephanoides sephaniodes,Green-backed firecrown,Picaflor,Colibrí austral,Apodiformes,Trochilinae
Setophaga fusca,Blackburnian warbler,Reinita de garganta naranja,Reinita gorjinaranja,Passeriformes,Parulidae
Setophaga pitiayumi,Tropical parula,Pitiayumí,Parula pitiayumí,Passeriformes,Parulidae
Setophaga ruticilla,American redstart,Candelita americana (reinita americana),Candelita norteña,Passeriformes,Parulidae
Setophaga striata,Blackpoll warbler,Monjita americana,Reinita estriada,Passeriformes,Parulidae
Setophaga virens,Black-throated green warbler,Reinita de dorso verde,Reinita dorsiverde,Passeriformes,Parulidae
Sicalis auriventris,Greater yellow-finch,Chirihue dorado,Chirigüe grande,Passeriformes,Thraupidae
Sicalis flaveola pelzelni,Saffron finch,Chirihue azafrán,Chirigüe azafranado,Passeriformes,Thraupidae
Sicalis lebruni,Patagonian yellow-finch,Chirihue austral,Chirigüe austral,Passeriformes,Thraupidae
Sicalis lutea,Puna yellow-finch,Chirihue de la puna,Chirigüe puneño,Passeriformes,Thraupidae
Sicalis luteola,Grassland yellow-finch,Chirihue,Chirigüe sabanero,Passeriformes,Thraupidae
Sicalis olivascens chloris,Greenish yellow-finch,Chirihue verdoso,Chirigüe oliváceo,Passeriformes,Thraupidae
Sicalis raimondii,Raimondi's yellow-finch,Chirihue de raimondi,Chirigüe de Raimondi,Passeriformes,Thraupidae
Sicalis uropygialis uropygialis,Bright-rumped yellow-finch,Chirihue cordillerano,Chirigüe culigualdo,Passeriformes,Thraupidae
Spatula  cyanoptera cyanoptera,Cinnamon teal,Pato colorado,Cerceta colorada,Anseriformes,Anatinae
Spatula  discors,Blue-winged teal,Pato de alas azules,Cerceta aliazul,Anseriformes,Anatinae
Spatula  platalea,Red shoveler,Pato cuchara,Cuchara argentino,Anseriformes,Anatinae
Spatula  versicolor versicolor,Silver teal,Pato capuchino,Cerceta capuchina,Anseriformes,Anatinae
Speculanas specularis,Spectacled duck,Pato anteojillo,Ánade anteojillo,Anseriformes,Anatinae
Spheniscus humboldti,Humboldt penguin,Pingüino de humboldt,Pingüino de Humboldt,Sphenisciformes,Spheniscidae
Spheniscus magellanicus,Magellanic penguin,Pingüino de magallanes,Pingüino magallánico,Sphenisciformes,Spheniscidae
Spinus atratus,Black siskin,Jilguero negro,Jilguero negro,Passeriformes,Fringillinae
Spinus barbatus,Black-chinned siskin,Jilguero,Jilguero golinegro,Passeriformes,Fringillinae
Spinus crassirostris crassirostris,Thick-billed siskin,Jilguero grande,Jilguero piquigrueso,Passeriformes,Fringillinae
Spinus magellanica urubambensis,Hooded siskin,Jilguero peruano,Jilguero encapuchado,Passeriformes,Fringillinae
Spinus uropygialis,Yellow-rumped siskin,Jilguero cordillerano,Jilguero cordillerano,Passeriformes,Fringillinae
Sporophila caerulescens,Double-collared seedeater,Corbatita de doble collar,Semillero corbatita,Passeriformes,Thraupidae
Sporophila lineola,Lined seedeater,Corbatita overo,Semillero overo,Passeriformes,Thraupidae
Sporophila telasco,Chestnut-throated seedeater,Corbatita,Semillero gorjicastaño,Passeriformes,Thraupidae
Steatornis caripensis,Oilbird,Guácharo,Guácharo,Steatornithiformes,Steatornithidae
Stercorarius antarcticus lonnbergi,Brown skua,Salteador pardo,Págalo antártico,Charadriiformes,Stercorariidae
Stercorarius chilensis,Chilean skua,Salteador chileno,Págalo chileno,Charadriiformes,Stercorariidae
Stercorarius longicaudus,Long tailed jaeger,Salteador de cola larga,Págalo rabero,Charadriiformes,Stercorariidae
Stercorarius maccormicki,South polar skua,Salteador polar,Págalo polar,Charadriiformes,Stercorariidae
Stercorarius parasiticus,Parasitic jaeger,Salteador chico,Págalo parásito,Charadriiformes,Stercorariidae
Stercorarius pomarinus,Pomarine jaeger,Salteador pomarino,Págalo pomarino,Charadriiformes,Stercorariidae
Sterna hirundinacea,South american tern,Gaviotín sudamericano,Charrán suramericano,Charadriiformes,Sterninae
Sterna hirundo hirundo,Common tern,Gaviotín boreal,Charrán común,Charadriiformes,Sterninae
Sterna paradisaea,Arctic tern,Gaviotín ártico,Charrán ártico,Charadriiformes,Sterninae
Sterna trudeaui,Snowy-crowned tern,Gaviotín piquerito,Charrán coroniblanco,Charadriiformes,Sterninae
Sterna vittata,Antarctic tern,Gaviotín antártico,Charrán antártico,Charadriiformes,Sterninae
Sternula antillarum,Least tern,Gaviotín chico boreal,Charrancito americano,Charadriiformes,Sterninae
Sternula lorata,Peruvian tern,Gaviotín chico,Charrancito peruano,Charadriiformes,Sterninae
Streptoprocne zonaris,White-collared swift,Vencejo de collar blanco,Vencejo acollarado,Apodiformes,Apodidae
Strix rufipes rufipes,Rufous-legged owl,Concón,Cárabo bataraz,Strigiformes,Strigidae
Sula dactylatra,Masked booby,Piquero blanco,Piquero enmascarado,Suliformes,Sulidae
Sula leucogaster,Brown booby,Piquero café,Piquero pardo,Suliformes,Sulidae
Sula nebouxii,Blue footed booby,Piquero de patas azules,Piquero camanay,Suliformes,Sulidae
Sula sula,Red footed booby,Piquero de patas coloradas,Piquero patirrojo,Suliformes,Sulidae
Sula variegata,Peruvian booby,Piquero,Piquero peruano,Suliformes,Sulidae
Sylviorthorhynchus desmursii,Des murs's wiretail,Colilarga,Tijeral colilargo,Passeriformes,Furnariidae
Syrigma sibilatrix sibilatrix,Whistling heron,Garza chiflón,Garza chillona,Pelecaniformes,Ardeidae
Systellura longirostris bifasciatus,Band-winged nightjar,Gallina ciega,Chotacabras ñañarca,Caprimulgiformes,Caprimulgidae
Tachuris rubrigastra rubrigastra,Many-colored rush-tyrant,Siete colores,Sietecolores / Siete colores,Passeriformes,Tyrannidae
Tachycineta leucopyga,Chilean swallow,Golondrina chilena,Golondrina chilena,Passeriformes,Hirundinidae
Tachyeres leucocephalus,White-headed steamer-duck,quetru de cabeza blanca,Patovapor cabeciblanco,Anseriformes,Anatinae
Tachyeres patachonicus,Flying steamer duck,Quetru volador,Patovapor volador,Anseriformes,Anatinae
Tachyeres pteneres,Flightless steamer-duck,Quetru no-volador,Patovapor de Magallanes,Anseriformes,Anatinae
Tersina viridis,Swallow tanager,Tersina,Tangara golondrina,Passeriformes,Thraupidae
Thalassarche  melanophris,Black-browed albatross,Albatros de ceja negra,Albatros ojeroso,Procellariiformes,Diomedeidae
Thalassarche bulleri,Buller's albatross,Albatros de buller,Albatros de Buller,Procellariiformes,Diomedeidae
Thalassarche cauta cauta,White-capped albatross,Albatros de corona blanca,Albatros frentiblanco,Procellariiformes,Diomedeidae
Thalassarche chlororhynchos,Atlantic yellow-nosed albatross,Albatros de pico delgado,Albatros clororrinco,Procellariiformes,Diomedeidae
Thalassarche chrysostoma,Grey-headed albatross,Albatros de cabeza gris,Albatros cabecigris,Procellariiformes,Diomedeidae
Thalasseus elegans,Elegant tern,Gaviotín elegante,Charrán elegante,Charadriiformes,Sterninae
Thalasseus maximus,Royal tern,Gaviotin real,Charrán real,Charadriiformes,Sterninae
Thalasseus sandvicensis,Sandwich tern,Gaviotín de sandwich,Charrán patinegro,Charadriiformes,Sterninae
Thalassoica antarctica,Antarctic petrel,Petrel antártico,Petrel antártico,Procellariiformes,Procellariidae
Thaumastura cora,Peruvian sheartail,Picaflor de cora,Colibrí cora,Apodiformes,Trochilinae
Theristicus melanopis,Black-faced ibis,Bandurria,Bandurria de collar,Pelecaniformes,Threskiornithidae
